date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:51	23/23	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Sep%202020%2018:24:40%20GMT	http://www.amzoneinternational.com/robots.txt		(from )
22:24:53	26404/26404	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2018:24:40%20GMT	http://www.amzoneinternational.com/	H:/zzzztest/New%20folder/liftjet/www.amzoneinternational.com/index.html	(from )
22:24:54	125501/125501	---M--	200	added ('OK')	text/css	etag:%225a00194-1ea3d-4f587183ec6c0%22	http://amzoneinternational.com/php/assets/bootstrap/css/bootstrap.css	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/bootstrap/css/bootstrap.css	(from http://www.amzoneinternational.com/)
22:24:56	7721/7721	---M--	200	added ('OK')	text/css	etag:%225a00196-1e29-4f587183ec6c0%22	http://amzoneinternational.com/php/assets/bootstrap/css/media1200.css	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/bootstrap/css/media1200.css	(from http://www.amzoneinternational.com/)
22:24:56	6923/6923	---M--	200	added ('OK')	text/css	etag:%225a00195-1b0b-4f587184e0900%22	http://amzoneinternational.com/php/assets/bootstrap/css/media1300.css	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/bootstrap/css/media1300.css	(from http://www.amzoneinternational.com/)
22:24:57	14639/14639	---M--	200	added ('OK')	text/css	etag:%225a00225-392f-4f57f99925b40%22	http://amzoneinternational.com/php/assets/css/font-awesome.css	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/css/font-awesome.css	(from http://www.amzoneinternational.com/)
22:24:57	27772/27772	---M--	200	added ('OK')	text/css	etag:%225a00224-6c7c-4f57f99925b40%22	http://amzoneinternational.com/php/assets/css/style.css	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/css/style.css	(from http://www.amzoneinternational.com/)
22:24:58	2111/2111	---M--	200	added ('OK')	text/css	etag:%225a00243-83f-4f57f9973d6c0%22	http://amzoneinternational.com/php/themes/default/default.css	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/themes/default/default.css	(from http://www.amzoneinternational.com/)
22:24:58	2082/2082	---M--	200	added ('OK')	text/css	etag:%225a0024d-822-4f57f9973d6c0%22	http://amzoneinternational.com/php/themes/light/light.css	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/themes/light/light.css	(from http://www.amzoneinternational.com/)
22:24:59	2070/2070	---M--	200	added ('OK')	text/css	etag:%225a0023b-816-4f57f9973d6c0%22	http://amzoneinternational.com/php/themes/dark/dark.css	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/themes/dark/dark.css	(from http://www.amzoneinternational.com/)
